2024-02-12 10:30:14.501 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.0%
2024-02-12 10:30:24.863 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.0%
2024-02-12 10:30:35.226 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.0%
2024-02-12 10:30:45.589 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.1%
2024-02-12 10:30:55.951 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.1%
2024-02-12 10:31:06.314 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.0%
2024-02-12 10:31:16.677 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.0%
2024-02-12 10:31:27.039 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.0%
2024-02-12 10:31:37.402 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.0%
2024-02-12 10:31:47.757 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.0%
2024-02-12 10:31:58.119 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.0%
2024-02-12 10:32:08.482 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.0%
2024-02-12 10:32:18.845 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:32:29.207 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.0%
2024-02-12 10:32:39.570 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.0%
2024-02-12 10:32:49.933 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.0%
2024-02-12 10:33:00.295 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.0%
2024-02-12 10:33:10.658 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=34.0%
2024-02-12 10:33:21.021 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:33:31.383 | WARNING  | __main__:<module>:24 - failed to read sensor: Checksum did not validate. Try again.
2024-02-12 10:33:41.746 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.9%
2024-02-12 10:33:52.108 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.8%
2024-02-12 10:34:02.471 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.9%
2024-02-12 10:34:12.834 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.8%
2024-02-12 10:34:23.196 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.9%
2024-02-12 10:34:33.559 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.9%
2024-02-12 10:34:43.922 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.8%
2024-02-12 10:34:54.284 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.7%
2024-02-12 10:35:04.647 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.8%
2024-02-12 10:35:15.010 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.8%
2024-02-12 10:35:25.372 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.8%
2024-02-12 10:35:35.735 | INFO     | __main__:<module>:17 - Temp=25.3*C Humidity=33.8%
